Plot_Nr	CS_SLA	CS_LDMC	MPD_2_ab	MPD_2_pre	MPD_SLA_ab	MPD_SLA_pre	Block	SD	FC	Ni	Fz	Comb
54	17.37262559	222.0006635	0.130826072	0.177686079	0.129357261	0.119435541	1	8	S	0	0	87S
55	13.4229876	223.3711279	0.124552483	0.217378951	0.069693157	0.19205527	1	4	S	0	0	46S
56	20.79895341	212.002218	0	0	0	0	1	1	S	0	0	Cj
57	18.83253858	224.5368669	0.168279927	0.192982692	0.145530393	0.124604636	1	8	S	1	0	86S
58	26.28064894	252.111888	0.349681796	0.334217925	0.23427934	0.268159181	1	4	F	0	0	43F
59	20.58720243	224.8747374	0.166064564	0.204650516	0.144702858	0.156820981	1	20	M	1	0	20sp
60	21.61257699	177.2437077	0	0	0	0	1	1	F	0	1	Cb
61	22.69688502	223.4315902	0.155061459	0.212357372	0.10321509	0.175959059	1	8	F	1	0	84F
62	18.18867458	229.0108221	0.13378574	0.192897789	0.106869955	0.125250702	1	8	S	0	0	810S
63	21.99758594	205.9217433	0.131717055	0.159582415	0.052269977	0.073510746	1	8	F	0	1	88F
64	23.30821351	194.8381083	0.162068886	0.188877659	0.136461902	0.08689765	1	4	F	0	1	410F
65	22.78685969	209.6342853	0.147083736	0.238067973	0.087364107	0.172479239	1	8	F	0	1	810F
66	17.08550069	233.6572831	0.13313388	0.151318432	0.157610528	0.142761795	1	4	M	0	0	410M
67	19.51128541	296.2733863	0	0	0	0	1	1	S	0	0	Hp
68	19.20205537	237.0718122	0.144583115	0.190311321	0.079961307	0.134892686	1	4	S	0	0	41S
69	23.15183782	212.4943642	0.174053754	0.228861293	0.110128325	0.146943016	1	8	F	1	1	89F
70	19.48695285	221.3388929	0.121437013	0.219689817	0.101454883	0.194929457	1	8	M	0	0	82M
71	12.89100088	342.7426057	0	0	0	0	1	1	S	0	1	Fr
72	19.71936087	220.3016647	0.160298815	0.195693958	0.117048125	0.151004039	1	8	M	0	0	86M
73	17.41486674	226.6583518	0.159605032	0.215758541	0.095273921	0.148026373	1	8	M	1	0	88M
74	22.72078558	295.979559	0.091420465	0.28138224	0.091873076	0.299646081	1	4	F	0	1	42F
75	18.9047344	202.9905324	0.200342589	0.246563005	0.20747995	0.147992714	1	4	M	1	0	48M
76	18.77110022	223.5055603	0.137789813	0.151334394	0.129283971	0.129439518	1	8	M	1	1	84M
77	15.48015291	225.8605049	0.193186452	0.210553137	0.24340531	0.20031153	1	4	M	0	1	47M
78	25.78632151	200.1439547	0	0	0	0	1	1	F	1	0	Ga
79	19.59229923	225.9369139	0	0	0	0	1	1	S	1	1	Sp
80	21.50622247	214.9053692	0.122896987	0.26732488	0.099131066	0.211332631	1	8	F	1	0	81F
81	12.26506608	349.2555788	0	0	0	0	1	1	F	0	1	Hs
82	16.44334872	220.231978	0.135235984	0.203336497	0.116167956	0.123248712	1	8	S	0	1	81S
83	20.85451608	226.0631301	0.180117505	0.194465907	0.163194199	0.133156601	1	20	M	1	1	20sp
84	23.797409	213.8931168	0.1467957	0.190719872	0.106128096	0.138588263	1	8	F	1	0	86F
85	18.21202254	221.567526	0.118775471	0.169167383	0.100421641	0.097265971	2	8	S	0	0	84S
86	23.55026277	195.7815774	0.132927807	0.204072933	0.109246803	0.11157702	2	8	F	0	1	82F
87	20.60094891	210.7824704	0.205412177	0.261647702	0.184291589	0.190891949	2	8	M	1	1	88M
88	16.74672146	219.7813416	0	0	0	0	2	1	S	1	0	Pg
89	21.75677315	203.7917111	0.121422397	0.235033575	0.083284963	0.180825818	2	8	F	1	1	81F
90	16.12434494	220.0858849	0.160545487	0.199505922	0.148419573	0.158192343	2	8	M	0	0	87M
91	19.49489479	311.3395809	0	0	0	0	2	1	S	1	1	Ao
92	22.40337343	224.0229773	0.228922118	0.207955671	0.200080782	0.13426086	2	4	S	1	1	43S
93	18.51859076	298.0736073	0	0	0	0	2	1	F	0	0	Lp
94	23.89547749	213.832872	0.160000553	0.166739934	0.101080593	0.112251561	2	8	F	1	0	89F
95	15.83093733	257.2002287	0	0	0	0	2	1	S	0	0	Dc
96	19.86287084	210.0590448	0	0	0	0	2	1	S	0	1	Cj
97	14.2847514	293.962792	0	0	0	0	2	1	S	1	1	Fr
98	16.70158281	241.8983107	0.168447969	0.176273706	0.113152948	0.100784901	2	8	S	1	0	81S
99	20.03015292	225.4556755	0.164579714	0.210947481	0.143573045	0.166946598	2	20	M	1	0	20sp
100	19.95595276	209.6911684	0.197573148	0.239899399	0.126835584	0.150082453	2	8	M	0	1	810M
101	20.36043442	234.0990854	0.224709797	0.186431139	0.116691163	0.121043134	2	4	F	0	0	44F
102	23.48722716	196.7551533	0.125557676	0.17961087	0.1249805	0.101388241	2	4	F	1	1	41F
103	22.78830817	206.0109896	0.172952168	0.269737395	0.111087105	0.225527778	2	8	F	0	1	86F
104	19.67175848	271.8469938	0.114736428	0.116348836	0.101350785	0.101215816	2	4	F	1	0	45F
