"Am" "Ao" "As" "Be" "Cb" "Cj" "Dc" "Dg" "Fr" "Ga" "Hl" "Hp" "Hs" "Lp" "Pg" "Pm" "Pt" "Ra" "Sp" "To" "Block" "Plot_Nr"
"200" 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 3 200
"201" 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 201
"202" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 202
"203" 1 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 3 203
"204" 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 3 204
"205" 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 3 205
"206" 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 3 206
"207" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 3 207
"208" 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 3 208
"209" 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 3 209
"210" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 210
"211" 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 3 211
"212" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 212
"213" 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 3 213
"214" 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 3 214
"215" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 3 215
"216" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 216
"217" 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 3 217
"218" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 3 218
"219" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 219
"220" 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 3 220
"221" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 3 221
"222" 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 3 222
"223" 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 223
"224" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 224
"225" 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 3 225
"226" 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 3 226
"227" 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 3 227
"228" 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 1 0 0 1 3 228
